3prime_overlapping_ncRNA	sRNA
antisense	as_lncRNA
antisense_RNA	as_lncRNA
bidirectional_promoter_lncRNA	lncRNA
IG_C_gene	protein_coding_gene
IG_C_pseudogene	pseudogene
IG_D_gene	protein_coding_gene
IG_J_gene	protein_coding_gene
IG_J_pseudogene	pseudogene
IG_pseudogene	pseudogene
IG_V_gene	protein_coding_gene
IG_V_pseudogene	pseudogene
lincRNA	lncRNA
macro_lncRNA	lncRNA
miRNA	miRNA
misc_RNA	misc_RNA
Mt_rRNA	rRNA
Mt_tRNA	tRNA
non_coding	lncRNA
polymorphic_pseudogene	pseudogene
processed_pseudogene	pseudogene
processed_transcript	lncRNA
protein_coding	protein_coding_gene
pseudogene	pseudogene
ribozyme	ribozyme
rRNA	rRNA
scaRNA	scaRNA
scRNA	scRNA
sense_intronic	lncRNA
sense_overlapping	lncRNA
snoRNA	snoRNA
snRNA	snRNA
sRNA	sRNA
TEC	protein_coding_gene
transcribed_processed_pseudogene	pseudogene
transcribed_unitary_pseudogene	pseudogene
transcribed_unprocessed_pseudogene	pseudogene
TR_C_gene	protein_coding_gene
TR_D_gene	protein_coding_gene
TR_J_gene	protein_coding_gene
TR_J_pseudogene	pseudogene
TR_V_gene	protein_coding_gene
TR_V_pseudogene	pseudogene
unitary_pseudogene	pseudogene
unprocessed_pseudogene	pseudogene
translated_processed_pseudogene	pseudogene
vaultRNA	sRNA
lncRNA_anti_class3w	lncRNA_anti_class3w
lncRNA_inter_class3w	lncRNA_inter_class3w
lncRNA_anti_class1w	lncRNA_anti_class1w
lncRNA_inter_class1w	lncRNA_inter_class1w
lncRNA	lncRNA
lncrna	lncRNA
ncRNA	lncRNA
repeat	repeat
